Product Name,SKU,Category,Filling,Weight,Customer Price,,,,,,,
SINGLE - 4 SEASONS FILLED,SEAS-034,4 SEASONS FILLED,Duck,,$157.00,,,,,,,
SINGLE - 4 SEASONS FILLED,SEAS-034,4 SEASONS FILLED,Goose,,$207.00,,,,,,,
DOUBLE - 4 SEASONS FILLED,SEAS-035,4 SEASONS FILLED,Duck,,$183.00,,,,,,,
DOUBLE - 4 SEASONS FILLED,SEAS-035,4 SEASONS FILLED,Goose,,$236.00,,,,,,,
QUEEN - 4 SEASONS FILLED,SEAS-036,4 SEASONS FILLED,Duck,,$214.00,,,,,,,
QUEEN - 4 SEASONS FILLED,SEAS-036,4 SEASONS FILLED,Goose,,$282.00,,,,,,,
KING - 4 SEASONS FILLED,SEAS-037,4 SEASONS FILLED,Duck,,$241.50,,,,,,,
KING - 4 SEASONS FILLED,SEAS-037,4 SEASONS FILLED,Goose,,$305.00,,,,,,,
SUPER KING - 4 SEASONS FILLED,SEAS-038,4 SEASONS FILLED,Duck,,$322.00,,,,,,,
SUPER KING - 4 SEASONS FILLED,SEAS-038,4 SEASONS FILLED,Goose,,$391.00,,,,,,,
SINGLE - 50% DUCK WINTER FILLED,DUCK-055,50% DUCK WINTER FILLED,Duck,,$92.00,,,,,,,
DOUBLE - 50% DUCK WINTER FILLED,DUCK-056,50% DUCK WINTER FILLED,Duck,,$103.50,,,,,,,
QUEEN - 50% DUCK WINTER FILLED,DUCK-057,50% DUCK WINTER FILLED,Duck,,$121.00,,,,,,,
KING - 50% DUCK WINTER FILLED,DUCK-058,50% DUCK WINTER FILLED,Duck,,$138.00,,,,,,,
SUPER KING - 50% DUCK WINTER FILLED,DUCK-059,50% DUCK WINTER FILLED,Duck,,$167.00,,,,,,,
SINGLE - 50% MID WARM FILLED,MIDW-060,50% MID WARM FILLED,Duck,,$80.50,,,,,,,
DOUBLE - 50% MID WARM FILLED,MIDW-061,50% MID WARM FILLED,Duck,,$92.00,,,,,,,
QUEEN - 50% MID WARM FILLED,MIDW-062,50% MID WARM FILLED,Duck,,$109.50,,,,,,,
KING - 50% MID WARM FILLED,MIDW-063,50% MID WARM FILLED,Duck,,$121.00,,,,,,,
SUPER KING - 50% MID WARM FILLED,MIDW-064,50% MID WARM FILLED,Duck,,$155.50,,,,,,,
SINGLE - 80% MID WARM FILLED,MIDW-050,80% MID WARM FILLED,Duck,,$109.50,,,,,,,
SINGLE - 80% MID WARM FILLED,MIDW-050,80% MID WARM FILLED,Goose,,$171.50,,,,,,,
SINGLE - 80% MID WARM FILLED,MIDW-050,80% MID WARM FILLED,Hungarian,,$183.00,,,,,,,
DOUBLE - 80% MID WARM FILLED,MIDW-051,80% MID WARM FILLED,Duck,,$126.50,,,,,,,
DOUBLE - 80% MID WARM FILLED,MIDW-051,80% MID WARM FILLED,Goose,,$199.00,,,,,,,
DOUBLE - 80% MID WARM FILLED,MIDW-051,80% MID WARM FILLED,Hungarian,,$210.50,,,,,,,
QUEEN - 80% MID WARM FILLED,MIDW-052,80% MID WARM FILLED,Duck,,$147.00,,,,,,,
QUEEN - 80% MID WARM FILLED,MIDW-052,80% MID WARM FILLED,Goose,,$226.50,,,,,,,
QUEEN - 80% MID WARM FILLED,MIDW-052,80% MID WARM FILLED,Hungarian,,$249.00,,,,,,,
KING - 80% MID WARM FILLED,MIDW-053,80% MID WARM FILLED,Duck,,$161.50,,,,,,,
KING - 80% MID WARM FILLED,MIDW-053,80% MID WARM FILLED,Goose,,$258.50,,,,,,,
KING - 80% MID WARM FILLED,MIDW-053,80% MID WARM FILLED,Hungarian,,$267.00,,,,,,,
SUPER KING - 80% MID WARM FILLED,MIDW-054,80% MID WARM FILLED,Duck,,$209.50,,,,,,,
SUPER KING - 80% MID WARM FILLED,MIDW-054,80% MID WARM FILLED,Goose,,$356.00,,,,,,,
SUPER KING - 80% MID WARM FILLED,MIDW-054,80% MID WARM FILLED,Hungarian,,$362.00,,,,,,,
SINGLE - 80% WINTER FILLED,WINT-045,80% WINTER FILLED,Duck,,$121.00,,,,,,,
SINGLE - 80% WINTER FILLED,WINT-045,80% WINTER FILLED,Goose,,$184.00,,,,,,,
DOUBLE - 80% WINTER FILLED,WINT-046,80% WINTER FILLED,Duck,,$140.00,,,,,,,
DOUBLE - 80% WINTER FILLED,WINT-046,80% WINTER FILLED,Goose,,$213.00,,,,,,,
QUEEN - 80% WINTER FILLED,WINT-047,80% WINTER FILLED,Duck,,$167.00,,,,,,,
QUEEN - 80% WINTER FILLED,WINT-047,80% WINTER FILLED,Goose,,$247.50,,,,,,,
KING - 80% WINTER FILLED,WINT-048,80% WINTER FILLED,Duck,,$189.00,,,,,,,
KING - 80% WINTER FILLED,WINT-048,80% WINTER FILLED,Goose,,$282.00,,,,,,,
SUPER KING - 80% WINTER FILLED,WINT-049,80% WINTER FILLED,Duck,,$265.50,,,,,,,
SUPER KING - 80% WINTER FILLED,WINT-049,80% WINTER FILLED,Goose,,$379.50,,,,,,,
