Product Name,SKU,Category,Filling,Weight,Customer Price,,,,,,,
SINGLE - 4 SEASONS FILLED,SEAS-034,4 SEASONS FILLED,Duck,,$136.50 ,,,,,,,
SINGLE - 4 SEASONS FILLED,SEAS-034,4 SEASONS FILLED,Goose,,$180.00 ,,,,,,,
DOUBLE - 4 SEASONS FILLED,SEAS-035,4 SEASONS FILLED,Duck,,$159.00 ,,,,,,,
DOUBLE - 4 SEASONS FILLED,SEAS-035,4 SEASONS FILLED,Goose,,$205.00 ,,,,,,,
QUEEN - 4 SEASONS FILLED,SEAS-036,4 SEASONS FILLED,Duck,,$186.00 ,,,,,,,
QUEEN - 4 SEASONS FILLED,SEAS-036,4 SEASONS FILLED,Goose,,$245.00 ,,,,,,,
KING - 4 SEASONS FILLED,SEAS-037,4 SEASONS FILLED,Duck,,$210.00 ,,,,,,,
KING - 4 SEASONS FILLED,SEAS-037,4 SEASONS FILLED,Goose,,$265.00 ,,,,,,,
SUPER KING - 4 SEASONS FILLED,SEAS-038,4 SEASONS FILLED,Duck,,$280.00 ,,,,,,,
SUPER KING - 4 SEASONS FILLED,SEAS-038,4 SEASONS FILLED,Goose,,$340.00 ,,,,,,,
SINGLE - 50% DUCK WINTER FILLED,DUCK-055,50% DUCK WINTER FILLED,Duck,,$80.00 ,,,,,,,
DOUBLE - 50% DUCK WINTER FILLED,DUCK-056,50% DUCK WINTER FILLED,Duck,,$90.00 ,,,,,,,
QUEEN - 50% DUCK WINTER FILLED,DUCK-057,50% DUCK WINTER FILLED,Duck,,$105.00 ,,,,,,,
KING - 50% DUCK WINTER FILLED,DUCK-058,50% DUCK WINTER FILLED,Duck,,$120.00 ,,,,,,,
SUPER KING - 50% DUCK WINTER FILLED,DUCK-059,50% DUCK WINTER FILLED,Duck,,$145.00 ,,,,,,,
SINGLE - 50% MID WARM FILLED,MIDW-060,50% MID WARM FILLED,Duck,,$70.00 ,,,,,,,
DOUBLE - 50% MID WARM FILLED,MIDW-061,50% MID WARM FILLED,Duck,,$80.00 ,,,,,,,
QUEEN - 50% MID WARM FILLED,MIDW-062,50% MID WARM FILLED,Duck,,$95.00 ,,,,,,,
KING - 50% MID WARM FILLED,MIDW-063,50% MID WARM FILLED,Duck,,$105.00 ,,,,,,,
SUPER KING - 50% MID WARM FILLED,MIDW-064,50% MID WARM FILLED,Duck,,$135.00 ,,,,,,,
SINGLE - 80% MID WARM FILLED,MIDW-050,80% MID WARM FILLED,Duck,,$95.00 ,,,,,,,
SINGLE - 80% MID WARM FILLED,MIDW-050,80% MID WARM FILLED,Goose,,$149.00 ,,,,,,,
SINGLE - 80% MID WARM FILLED,MIDW-050,80% MID WARM FILLED,Hungarian,,$159.00 ,,,,,,,
DOUBLE - 80% MID WARM FILLED,MIDW-051,80% MID WARM FILLED,Duck,,$110.00 ,,,,,,,
DOUBLE - 80% MID WARM FILLED,MIDW-051,80% MID WARM FILLED,Goose,,$173.00 ,,,,,,,
DOUBLE - 80% MID WARM FILLED,MIDW-051,80% MID WARM FILLED,Hungarian,,$183.00 ,,,,,,,
QUEEN - 80% MID WARM FILLED,MIDW-052,80% MID WARM FILLED,Duck,,$127.50 ,,,,,,,
QUEEN - 80% MID WARM FILLED,MIDW-052,80% MID WARM FILLED,Goose,,$197.00 ,,,,,,,
QUEEN - 80% MID WARM FILLED,MIDW-052,80% MID WARM FILLED,Hungarian,,$216.50 ,,,,,,,
KING - 80% MID WARM FILLED,MIDW-053,80% MID WARM FILLED,Duck,,$140.50 ,,,,,,,
KING - 80% MID WARM FILLED,MIDW-053,80% MID WARM FILLED,Goose,,$224.50 ,,,,,,,
KING - 80% MID WARM FILLED,MIDW-053,80% MID WARM FILLED,Hungarian,,$232.00 ,,,,,,,
SUPER KING - 80% MID WARM FILLED,MIDW-054,80% MID WARM FILLED,Duck,,$182.00 ,,,,,,,
SUPER KING - 80% MID WARM FILLED,MIDW-054,80% MID WARM FILLED,Goose,,$309.50 ,,,,,,,
